year,feature,psi
2015,fico_range_low,0.003436505956166692
2015,annual_inc_capped,0.0024608290329989806
2015,dti_capped,0.02985722987805637
2016,fico_range_low,0.007677170389751672
2016,annual_inc_capped,0.008422534658281005
2016,dti_capped,0.02238667280379361
2017,fico_range_low,0.03945895909612049
2017,annual_inc_capped,0.011821795333827278
2017,dti_capped,0.01582253559887516
2018,fico_range_low,0.1917161257844075
2018,annual_inc_capped,0.01687133864493586
2018,dti_capped,0.05758885506993569
