vintage,dr_12m,dr_24m,dr_36m
2007Q2,0.0,0.0,0.0
2007Q3,0.012345679012345678,0.06172839506172839,0.12345679012345678
2007Q4,0.05917159763313609,0.15384615384615385,0.1952662721893491
2008Q1,0.05163511187607573,0.12736660929432014,0.16351118760757316
2008Q2,0.0547945205479452,0.13013698630136986,0.1506849315068493
2008Q3,0.05913978494623656,0.14516129032258066,0.15053763440860216
2008Q4,0.06759443339960239,0.1312127236580517,0.15308151093439365
2009Q1,0.05161290322580645,0.0967741935483871,0.11741935483870967
2009Q2,0.05181347150259067,0.10259067357512953,0.12538860103626942
2009Q3,0.04467912266450041,0.08935824532900082,0.11129163281884646
2009Q4,0.06074498567335244,0.0991404011461318,0.12836676217765042
2010Q1,0.039938556067588324,0.07578084997439836,0.1003584229390681
2010Q2,0.04935158501440922,0.09221902017291066,0.12247838616714697
2010Q3,0.04110840438489647,0.08313032886723508,0.11723507917174178
2010Q4,0.03917116094237866,0.080896962815782,0.10843031507238149
2011Q1,0.04144449830344159,0.08603974793989336,0.11778962675714978
2011Q2,0.048020384163073304,0.10192081536652293,0.13230105840846726
2011Q3,0.049693669162695714,0.09819605173587474,0.1298502382573179
2011Q4,0.053498564304065285,0.10971739458969322,0.14492972646214297
2012Q1,0.05460624071322437,0.11181277860326895,0.150074294205052
2012Q2,0.05618837943907342,0.1223317698860917,0.15880156982865895
2012Q3,0.05801772763900081,0.11814293683753796,0.15421806235666027
2012Q4,0.05055849500293945,0.10785099673988563,0.14371225482336594
2013Q1,0.04571478904254382,0.10433365630229895,0.13872985114066766
2013Q2,0.04926959697404461,0.1102778140080866,0.14793922003391158
2013Q3,0.048361768385190705,0.10627877884538607,0.13989513188363364
2013Q4,0.04541827219042842,0.10335392963815865,0.13990287056248432
2014Q1,0.04537042945568247,0.10956543934656372,0.15023504137153554
2014Q2,0.05429312185450663,0.12242641451883483,0.16957068781454934
2014Q3,0.058348570704419137,0.12976809022937524,0.17361551134203523
2014Q4,0.05933095502660974,0.1356950698871279,0.1804491490730452
2015Q1,0.06209392862257985,0.14361418173769253,0.18947176542582972
2015Q2,0.06592818412417677,0.149542714854204,0.19629517581624817
2015Q3,0.06901658767772512,0.15037179277659748,0.19573255433894426
2015Q4,0.07184758390196351,0.15182425845982453,0.19582927168917977
2016Q1,0.07865419492017546,0.1625079288502944,0.2018528941420314
2016Q2,0.10583674895942553,0.2127379023289804,0.25146951355129793
2016Q3,0.11747220443086827,0.23147920053866747,0.25746005156755514
2016Q4,0.11855211513301352,0.2285215874400349,0.2368425643262102
2017Q1,0.12316784365599198,0.22551257707324357,0.22696336754069682
2017Q2,0.14905478004810394,0.2352147818463821,0.2352147818463821
2017Q3,0.1829045794563036,0.23485677796022625,0.23485677796022625
2017Q4,0.20056314894116267,0.20965565788701823,0.20965565788701823
2018Q1,0.18702832282695553,0.18791618574092162,0.18791618574092162
2018Q2,0.17124735729386892,0.17124735729386892,0.17124735729386892
2018Q3,0.08498253783469151,0.08498253783469151,0.08498253783469151
2018Q4,0.012127236580516898,0.012127236580516898,0.012127236580516898
